id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
1,1,one,control,0,0,no,0,65.065,0.399762797,0,213,1.620223677,1.173187954,1.906655584,5.789350634,NA
2,2,one,control,0.980488678,3,yes,1,66.35136364,0.442612164,0.023791658,133.4926,0.292690608,2.856733845,0.235814948,6.835583611,NA
3,3,one,control,0.877044412,4,yes,1,66.48409091,0.387638239,0.010697391,266.3524565,0.358988169,0,0.047878936,61.79788415,NA
4,4,one,control,0,0,no,0,65.41363636,0.393630737,0.007076099,96.265,0.356841486,1.736487585,1.817162245,99.64325255,NA
5,5,one,control,0.171526249,3,yes,1,64.60136364,0.448194879,0,146.0961,NA,2.668261412,2.121439597,79.74535613,NA
6,6,one,control,0.779328077,7,yes,1,67.03681818,0.413895613,0,178.8975,NA,0,5.165108051,208.3423886,NA
7,7,one,control,0.039759609,2,yes,1,68.20727273,0.423130221,0,161.4425,NA,4.322159953,0.301592552,87.42220686,NA
8,8,one,control,1.057711831,8,yes,1,67.61227273,0.486227946,0.016381956,537.79,1.310366071,0.586593977,3.101839124,247.5427245,NA
9,9,one,control,0.645138527,3,yes,1,65.1885,0.588119614,0.01255324,338.523,1.254788593,0,10.13198836,516.0617012,NA
10,10,one,control,0,0,no,0,69.44727273,0.446110147,0.009734725,164.234,1.240409267,1.696251897,2.55682469,79.35522732,NA
11,11,one,control,0,0,no,0,69.59318182,0.359351171,0,137.82,1.166641662,1.173187954,2.59888656,94.66268594,NA
12,12,one,control,0,0,no,0,68.80863636,0.473876324,0.002604105,294.4986,1.737941043,2.856733845,2.216750003,203.2616043,NA
13,13,one,control,0.378264874,2,yes,1,67.59681818,0.544291963,0.020288576,307.0566129,2.393590932,0,8.158212768,195.4681163,NA
14,14,one,control,0,0,no,0,68.85863636,0.547597314,0.01402738,564.5124,3.674428093,1.736487585,6.682915077,315.3869986,NA
15,15,one,control,0,0,no,0,68.14590909,0.496447228,0,471.411,2.076326924,2.668261412,4.142199188,374.6919384,NA
16,16,one,control,0.327749554,6,yes,1,66.12136364,0.578962307,0,590.9,2.826714518,1.920724683,7.795764746,244.9275004,NA
17,17,one,control,2.25307521,4,yes,1,64.36181818,0.539151976,0,352.3842,0.292690608,0,1.764361175,286.5368437,NA
18,18,one,control,3.583270296,4,yes,1,59.46090909,0.556359753,0,406.4352,0.358988169,1.346836713,0.042509336,63.67479253,NA
19,19,one,control,4.79472801,6,yes,1,66.61954545,0.550216345,0,502.8731,0.356841486,2.988029248,0.092625606,340.1426349,NA
20,20,one,control,2.247093156,4,yes,1,61.34227273,0.59680836,0,197.6043,0.608139926,1.645427871,0.64300964,366.2655602,NA
21,21,one,control,1.190771264,6,yes,1,66.48727273,0.335458237,0,318.1978,0.828112671,0,NA,481.2559491,NA
22,22,one,control,2.879873388,11,yes,1,68.28136364,0.391578776,0,130.3203335,0.038658601,2.64073173,1.385356885,197.397425,NA
